str_address,int_metry,int_cena,str_url,str_typ
"Praha 10, Uhříněves, U uhříněveské obory",37 m2,3 790 000 Kč,https://www.maxima.cz/nemovitosti/b50071213/,Prodej bytu 1 + kk
"Praha 4, Chodov, Leopoldova",42 m2,4 190 000 Kč,https://www.maxima.cz/nemovitosti/b50070790/,Prodej bytu 1 + 1
"Praha 10, Malešice, Přistoupimská",60 m2,4 300 000 Kč,https://www.maxima.cz/nemovitosti/b50070849/,Prodej bytu 2 + 1
"Harrachov, Harrachov",59 m2,4 400 000 Kč,https://www.maxima.cz/nemovitosti/b50070575/,Prodej bytu 2 + kk
"Praha 4, Michle, Nuselská",42 m2,4 456 000 Kč,https://www.maxima.cz/nemovitosti/b50070829/,Prodej bytu 1 + kk
"Olomouc, Chválkovice, Chválkovická",86 m2,4 470 000 Kč,https://www.maxima.cz/nemovitosti/b50070566/,Prodej bytu 3 + 1
"Modletice, Modletice",55 m2,4 500 000 Kč,https://www.maxima.cz/nemovitosti/b50070977/,Prodej bytu 2 + kk
"Klíčany, Klíčany",64 m2,4 630 000 Kč,https://www.maxima.cz/nemovitosti/b50070011/,Prodej bytu 2 + kk
"Praha 4, Libuš, V Rohu",82 m2,4 790 000 Kč,https://www.maxima.cz/nemovitosti/b50071156/,Prodej bytu 3 + 1
"Praha 3, Žižkov, Buková",58 m2,4 790 000 Kč,https://www.maxima.cz/nemovitosti/b50070821/,Prodej bytu 2 + 1
